Date;StockPrice;Sentiment Score;EPS;Revenue;Expense
44927;239.82;0;2.23;51865;31331
44927.0416666667;239.82;0;2.23;51865;31331
44927.0833333333;239.82;0;2.23;51865;31331
44927.125;239.82;0;2.23;51865;31331
44927.1666666667;239.82;0;2.23;51865;31331
44927.2083333333;239.82;0;2.23;51865;31331
44927.25;239.82;0;2.23;51865;31331
44927.2916666667;239.82;0;2.23;51865;31331
44927.3333333333;239.82;0;2.23;51865;31331
44927.375;239.82;0;2.23;51865;31331
44927.4166666667;239.82;0;2.23;51865;31331
44927.4583333333;239.82;0;2.23;51865;31331
44927.5;239.82;0;2.23;51865;31331
44927.5416666667;239.82;0;2.23;51865;31331
44927.5833333333;239.82;0;2.23;51865;31331
44927.625;239.82;7;2.23;51865;31331
44927.6666666667;239.82;7;2.23;51865;31331
44927.7083333333;239.82;7;2.23;51865;31331
44927.75;239.82;7;2.23;51865;31331
44927.7916666667;239.82;7;2.23;51865;31331
44927.8333333333;239.82;7;2.23;51865;31331
44927.875;239.82;7;2.23;51865;31331
44927.9166666667;239.82;7;2.23;51865;31331
44927.9583333333;239.82;7;2.23;51865;31331
44928;239.82;7;2.23;51865;31331
44928.0416666667;239.82;7;2.23;51865;31331
44928.0833333333;239.82;7;2.23;51865;31331
44928.125;239.82;7;2.23;51865;31331
44928.1666666667;239.82;7;2.23;51865;31331
44928.2083333333;239.82;7;2.23;51865;31331
44928.25;239.82;7;2.23;51865;31331
44928.2916666667;239.82;7;2.23;51865;31331
44928.3333333333;239.82;7;2.23;51865;31331
44928.375;239.82;7;2.23;51865;31331
44928.4166666667;239.82;7;2.23;51865;31331
44928.4583333333;239.82;7;2.23;51865;31331
44928.5;239.82;7;2.23;51865;31331
44928.5416666667;239.82;7;2.23;51865;31331
44928.5833333333;239.82;7;2.23;51865;31331
44928.625;239.82;7;2.23;51865;31331
44928.6666666667;239.82;7;2.23;51865;31331
44928.7083333333;239.82;7;2.23;51865;31331
44928.75;239.82;7;2.23;51865;31331
44928.7916666667;239.82;7;2.23;51865;31331
44928.8333333333;239.82;7;2.23;51865;31331
44928.875;239.82;7;2.23;51865;31331
44928.9166666667;239.82;7;2.23;51865;31331
44928.9583333333;239.82;7;2.23;51865;31331
44929;239.82;7;2.23;51865;31331
44929.0416666667;239.82;7;2.23;51865;31331
44929.0833333333;239.82;7;2.23;51865;31331
44929.125;239.82;7;2.23;51865;31331
44929.1666666667;239.82;7;2.23;51865;31331
44929.2083333333;239.82;7;2.23;51865;31331
44929.25;239.82;7;2.23;51865;31331
44929.2916666667;239.82;7;2.23;51865;31331
44929.3333333333;239.82;10;2.23;51865;31331
44929.375;239.82;-2;2.23;51865;31331
44929.4166666667;239.82;-2;2.23;51865;31331
44929.4583333333;239.82;-2;2.23;51865;31331
44929.5;239.82;-2;2.23;51865;31331
44929.5416666667;239.82;-2;2.23;51865;31331
44929.5833333333;239.82;3;2.23;51865;31331
44929.625;239.82;3;2.23;51865;31331
44929.6666666667;241.25;-10;2.23;51865;31331
44929.7083333333;239.685;-10;2.23;51865;31331
44929.75;238.16;-10;2.23;51865;31331
44929.7916666667;238.11;-1;2.23;51865;31331
44929.8333333333;238.57;-11;2.23;51865;31331
44929.875;239.42;-18;2.23;51865;31331
44929.9166666667;239.58;-18;2.23;51865;31331
44929.9583333333;239.58;-18;2.23;51865;31331
44930;239.58;-18;2.23;51865;31331
44930.0416666667;239.58;7;2.23;51865;31331
44930.0833333333;239.58;7;2.23;51865;31331
44930.125;239.58;7;2.23;51865;31331
44930.1666666667;239.58;-4;2.23;51865;31331
44930.2083333333;239.58;-4;2.23;51865;31331
44930.25;239.58;-4;2.23;51865;31331
44930.2916666667;239.58;2;2.23;51865;31331
44930.3333333333;239.58;2;2.23;51865;31331
44930.375;239.58;7;2.23;51865;31331
44930.4166666667;239.58;-16;2.23;51865;31331
44930.4583333333;239.58;-21;2.23;51865;31331
44930.5;239.58;-13;2.23;51865;31331
44930.5416666667;239.58;8;2.23;51865;31331
44930.5833333333;239.58;8;2.23;51865;31331
44930.625;239.58;8;2.23;51865;31331
44930.6666666667;229.01;-5;2.23;51865;31331
44930.7083333333;227.58;-9;2.23;51865;31331
44930.75;228.94;-2;2.23;51865;31331
44930.7916666667;227.91;-10;2.23;51865;31331
44930.8333333333;228.6;-14;2.23;51865;31331
44930.875;228.155;-15;2.23;51865;31331
44930.9166666667;229.1;-15;2.23;51865;31331
